08870510 frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
08872029 0.000000000,77,17,63,64,,,,,46988,53
08873163 0.000022708,77,17,63,64,,,,,46988,53
08874365 0.038917039,230,17,216,52,,,,,53,46988
08875645 0.001304135,168,17,154,52,,,,,53,46988
08876897 0.000923142,74,6,60,64,0,64240,54456,443,,
08878038 0.097185446,74,6,60,46,0,65160,443,54456,,
08879269 0.000654223,66,6,52,64,0,64256,54456,443,,
08880509 0.000493795,359,6,345,64,293,64256,54456,443,,
08881711 0.096570008,66,6,52,46,0,64896,443,54456,,
08882856 0.001523536,1555,6,1541,46,1489,64896,443,54456,,
08884153 0.000628483,66,6,52,64,0,63104,54456,443,,
08885382 0.001789973,664,6,650,64,598,64128,54456,443,,
08886448 0.096473244,66,6,52,46,0,64384,443,54456,,
08887619 0.000585315,608,6,594,46,542,64384,443,54456,,
08888801 0.000609016,66,6,52,64,0,63616,54456,443,,
08889973 0.180920532,763,6,749,46,697,64384,443,54456,,
08891061 0.000618822,66,6,52,64,0,63104,54456,443,,
08892238 15.229006808,713,6,699,46,647,64384,443,54456,,
08893384 0.001951647,66,6,52,64,0,63104,54456,443,,
08894603 5.040139015,42,,,,,,,,,
08895653 0.000387248,42,,,,,,,,,
08896862 3.925070178,338,17,324,64,,,,,68,67
08898060 13.161983358,287,6,273,64,221,64128,54456,443,,
08899190 0.096220910,66,6,52,46,0,64256,443,54456,,
08900328 0.166789706,151,6,137,46,85,64256,443,54456,,
08901505 0.000378422,66,6,52,64,0,64128,54456,443,,
08902708 5.096494183,42,,,,,,,,,
08903924 0.000025493,42,,,,,,,,,
08905128 45.055864455,338,17,324,64,,,,,68,67
08906205 12.799299153,66,6,52,64,0,64128,54456,443,,
08907427 0.099170590,66,6,52,46,0,64256,443,54456,,
08908455 4.363595258,287,6,273,64,221,64128,54456,443,,
08909580 0.096256887,66,6,52,46,0,64128,443,54456,,
08910651 0.000176174,151,6,137,46,85,64128,443,54456,,
08911866 0.000326860,66,6,52,64,0,64128,54456,443,,
08912972 0.641957465,42,,,,,,,,,
08914082 0.000491860,42,,,,,,,,,
08915213 21.643378545,87,17,73,255,,,,,5353,5353
08916368 22.830050065,107,,,,,,,,5353,5353
08917446 0.737270310,338,17,324,64,,,,,68,67
08918553 14.162612420,66,6,52,64,0,64128,54456,443,,
08919640 0.096413312,66,6,52,46,0,64128,443,54456,,
08920950 1.597075463,287,6,273,64,221,64128,54456,443,,
08922045 0.096237749,66,6,52,46,0,64128,443,54456,,
08923113 0.000117132,151,6,137,46,85,64128,443,54456,,
08924441 0.000245670,66,6,52,64,0,64128,54456,443,,
08925667 3.348108718,42,,,,,,,,,
08926839 0.000381839,42,,,,,,,,,
08928083 39.948698725,287,6,273,64,221,64128,54456,443,,
08929327 0.096933654,151,6,137,46,85,64128,443,54456,,
08930564 0.000531191,66,6,52,64,0,64128,54456,443,,
08931621 4.785069483,338,17,324,64,,,,,68,67
08932824 0.224389376,42,,,,,,,,,
08934129 0.000455953,42,,,,,,,,,
08935319 15.300783404,713,6,699,46,647,64128,443,54456,,
08936446 0.000413931,66,6,52,64,0,63488,54456,443,,
08937674 0.227681056,287,6,273,64,221,64128,54456,443,,
08938841 0.096831885,151,6,137,46,85,64128,443,54456,,
08940051 0.000411604,66,6,52,64,0,64128,54456,443,,
08941208 44.635103148,287,6,273,64,221,64128,54456,443,,
08942352 0.098083991,151,6,137,46,85,64128,443,54456,,
08943541 0.000426358,66,6,52,64,0,64128,54456,443,,
08944705 3.940323537,338,17,324,64,,,,,68,67
08945751 1.151949283,42,,,,,,,,,
08946888 0.000017771,42,,,,,,,,,
08948169 0.083513410,42,,,,,,,,,
08949275 0.000387604,42,,,,,,,,,
08950347 37.495689116,713,6,699,46,647,64128,443,54456,,
08951561 0.000426331,66,6,52,64,0,63488,54456,443,,
08952820 5.255505167,42,,,,,,,,,
08953832 0.000490487,42,,,,,,,,,
08954852 0.171547739,42,,,,,,,,,
08956200 0.000017520,42,,,,,,,,,
08957283 20.182346192,338,17,324,64,,,,,68,67
08958304 35.113188213,66,6,52,64,0,64128,54456,443,,
08959410 0.096280053,66,6,52,46,0,64128,443,54456,,
08960614 4.027209837,287,6,273,64,221,64128,54456,443,,
08961705 0.137555942,66,6,52,46,0,64128,443,54456,,
08962709 0.053017141,713,6,699,46,647,64128,443,54456,,
08963790 0.000370161,66,6,52,64,0,63488,54456,443,,
08965012 0.096756220,151,6,137,46,85,64128,443,54456,,
08966112 0.000505908,66,6,52,64,0,63488,54456,443,,
08967158 0.792707772,42,,,,,,,,,
08968276 0.000398229,42,,,,,,,,,
08969551 9.094965393,713,6,699,46,647,64128,443,54456,,
08970645 0.000368361,66,6,52,64,0,63104,54456,443,,
08971652 13.743402694,338,17,324,64,,,,,68,67
08972861 46.707929823,66,6,52,64,0,64128,54456,443,,
08974160 0.097355220,66,6,52,46,0,64128,443,54456,,
08975181 5.022525143,42,,,,,,,,,
08976276 0.000021926,42,,,,,,,,,
08977488 0.085036136,42,,,,,,,,,
08978729 0.000435760,42,,,,,,,,,
08979876 1.218210842,713,6,699,46,647,64128,443,54456,,
08981061 0.000363683,66,6,52,64,0,63488,54456,443,,
08982343 10.386358382,338,17,324,64,,,,,68,67
08983522 49.749090121,66,6,52,64,0,64128,54456,443,,
08984702 0.096230403,66,6,52,46,0,64128,443,54456,,
08985781 5.023833719,42,,,,,,,,,
08987084 0.000028451,42,,,,,,,,,
08988219 0.085444050,42,,,,,,,,,
08989347 0.000382042,42,,,,,,,,,
08990486 10.021300632,338,17,324,64,,,,,68,67
08991735 48.260343969,66,6,52,64,0,64128,54456,443,,
19622145 0.096361334,66,6,52,46,0,64128,443,54456,,
19623397 5.023605028,42,,,,,,,,,
19624768 0.000017641,42,,,,,,,,,
19625995 0.085989165,42,,,,,,,,,
19627267 0.000408095,42,,,,,,,,,
